Country		Population	Adult literacy rate, both sexes (%)	Expendeture on education as % of GDP	Primary Completion rate, both sexes (%)	Primary Completetion rate, Male(%)	Primary completion rate, Female (%)	Youth (15-24 years) literacy rate, Female (%)	Youth Literacy rate, Male (%)
Greece		11027549	97.47355652	3.965729952	101.2653809	N/A	N/A	99.32264709	99.4779129
Grenada		105902	N/A	N/A	94.45953369	91.10121918	97.66454315	N/A	N/A
Guatemala		15690793	77.03866577	2.845129967	85.61348724	84.47570801	86.72637177	89.77036285	94.18228149
Guyana		761033	84.99401093	3.19404006	85.25553131	N/A	N/A	93.67022705	92.42121124
Honduras		7849059	85.46442413	5.857960224	93.05198669	95.93550873	90.28424835	96.29855347	93.85073853
Croatia		4255689	99.12535858	4.157949924	93.17816162	N/A	N/A	99.73571777	99.71204376
Haiti		10431249	48.68502045	N/A	N/A	N/A	N/A	70.48077393	74.36740875
Hungary		9893082	99.04828644	4.64508009	98.34851074	98.41841125	98.2822113	99.0151062	98.72525787
Indonesia		251268276	92.81190491	N/A	104.5441513	N/A	N/A	98.75179291	98.80384064
India		1279498874	69.3025589	3.868249893	N/A	N/A	N/A	81.84981537	90.04483032
Ireland		4598294	N/A	5.85089016	N/A	N/A	N/A	N/A	N/A
Iraq		33781385	79.25373077	N/A	N/A	N/A	N/A	80.57488251	83.2618866
Iceland		323764	N/A	7.047319889	N/A	N/A	N/A	N/A	N/A
Israel		8059500	N/A	5.632810116	102.0459976	102.5890732	101.5323563	N/A	N/A
Italy		60233948	99.07051849	4.140540123	N/A	N/A	N/A	99.92772675	99.91951752
Jamaica		2714734	87.90326691	6.256199837	N/A	N/A	N/A	98.68582916	93.59145355
Jordan		6460000	97.89031982	N/A	N/A	N/A	N/A	99.2027359	99.00203705
Japan		127338621	N/A	3.818490028	N/A	N/A	N/A	N/A	N/A
Kazakhstan		17035275	99.73241425	3.060719967	102.2483292	103.1014633	101.4440765	99.86510468	99.8039093
Kenya		43692881	72.1570282	5.508220196	N/A	N/A	N/A	81.63256836	83.20542145
Cambodia		15078564	73.90002441	2.603879929	97.34088898	94.67194366	99.89187622	85.86867523	88.35611725
Kiribati		108544	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Saint-Kitts-and-Nevis		54301	N/A	4.225299835	89.68421173	93.17697144	86.27858734	N/A	N/A
Korea,Rep.		50219669	N/A	4.618229866	110.5281982	109.6603394	111.3291702	N/A	N/A
Kuwait		3593689	95.58581543	3.760010004	N/A	N/A	N/A	99.0406723	99.25228882
Lebanon		4493438	89.61244202	2.572679996	89.26508331	87.36559296	91.228302	99.08229828	98.39605713
Liberia		4293692	42.94108582	2.820689917	N/A	N/A	N/A	37.17030716	63.4510231
Libya		6265987	90.25813293	N/A	N/A	N/A	N/A	99.90312195	99.95574951
Saint-Lucia		182305	N/A	4.756120205	N/A	N/A	N/A	N/A	N/A
Liechtenstein		37040	N/A	2.556040049	N/A	N/A	N/A	N/A	N/A
Sri-Lanka		20483000	91.18135834	1.72397995	97.38845825	97.09697723	97.67285156	98.588974	97.6865387
Lesotho		2083061	75.80020142	12.98200989	74.08985901	83.92384338	64.43074036	92.09389496	74.18502808
Lithuania		2957689	99.81559753	5.172679901	96.38387299	95.79917908	96.93955994	99.86662292	99.84547424
